ID Anggota,Kode Buku,Judul,Kode Klasifikasi,Nama Klasifikasi,Tanggal Pinjam,Tanggal Kembali,Bulan Peminjaman,Status peminjaman
190388201084,KB-183577,DRAMA KARYA DALAM DUA DIMENSI,808,Kesusastraan,2024-01-16,2024-01-23,Januari,Telah Kembali
190388201084,KB-136050,Pengantar kajian sastra,800,Kesusastraan,2024-01-16,2024-01-23,Januari,Telah Kembali
2003010043,KB-530226,Semantik leksikal,410,Bahasa,2024-01-12,2024-01-19,Januari,Telah Kembali
180388201062,KB-041984,Jenis Kalimat Dalam Bahasa Indonesia,410,Bahasa,2024-01-11,2024-01-18,Januari,Telah Kembali
180388201062,KB-041984,Jenis Kalimat Dalam Bahasa Indonesia,410,Bahasa,2024-01-11,2024-01-18,Januari,Telah Kembali
180388201062,KB-276155,Argumentasi dan Narasi,410,Bahasa,2024-01-11,2024-01-18,Januari,Telah Kembali
180388201062,KB-276155,Argumentasi dan Narasi,410,Bahasa,2024-01-11,2024-01-18,Januari,Telah Kembali
180388201062,KB-532119,JENIS-JENIS TEKS,499221,Bahasa,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010043,KB-442757,PENGANTAR SEMANTIK BAHASA INDONESIA,400,Bahasa,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010043,KB-442757,PENGANTAR SEMANTIK BAHASA INDONESIA,400,Bahasa,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010043,KB-158415,SEMANTIK 2,401,Bahasa,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010046,KB-383004,Media pembelajaran,371,Ilmu-ilmu sosial,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010046,KB-373325,MEDIA PEMBELAJARAN,371,Ilmu-ilmu sosial,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010046,KB-373325,MEDIA PEMBELAJARAN,371,Ilmu-ilmu sosial,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010046,KB-373325,MEDIA PEMBELAJARAN,371,Ilmu-ilmu sosial,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010046,KB-373325,MEDIA PEMBELAJARAN,371,Ilmu-ilmu sosial,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010046,KB-547130,Media pembelajaran digital,371,Ilmu-ilmu sosial,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010035,KB-478699,Media konvensional dan media online,302,Ilmu-ilmu sosial,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010035,KB-912143,Belajar & pembelajaran pada bidang teknologi informasi,372,Ilmu-ilmu sosial,2024-01-11,2024-01-18,Januari,Telah Kembali
190384205034,KB-539803,Metode Penelitian Kuantitatif,1,Karya umum,2024-01-11,2024-01-18,Januari,Telah Kembali
2003010071,KB-031688,68 MODEL PEMBELAJARAN INOVATIF DALAM KURIKULUM 2013,370,Ilmu-ilmu sosial,2024-01-10,2024-01-17,Januari,Telah Kembali
2003010057,KB-052660,ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA,401,Bahasa,2024-01-10,2024-01-17,Januari,Telah Kembali
2003010057,KB-820666,"Analisis Wacana: Teori, Metode, & Penerapannya",401,Bahasa,2024-01-10,2024-01-17,Januari,Telah Kembali
2003010057,KB-648718,ANALISIS TEKS MEDIA,401,Bahasa,2024-01-10,2024-01-17,Januari,Telah Kembali
2003010059,KB-748345,Ilmu sosial budaya dasar,300,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
2003010059,KB-748345,Ilmu sosial budaya dasar,300,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
2003010059,KB-748345,Ilmu sosial budaya dasar,300,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
2003010059,KB-748345,Ilmu sosial budaya dasar,300,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
2003010059,KB-604429,Culture studi kebudayaan,306,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
2003010059,KB-108077,Teori-teori kebudayaan dari teori hingga aplikasi,306,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
2003020015,KB-806225,"Metode Penelitian Kuantitatif, Kualitatif dan R&D",1,Karya umum,2024-01-09,2024-01-16,Januari,Telah Kembali
190388201075,KB-844724,Metode penelitian bahasa,407,Bahasa,2024-01-09,2024-01-11,Januari,Telah Kembali
190388201075,KB-372704,METODOLOGI PENELITIAN KUALITATIF,1,Karya umum,2024-01-09,2024-01-11,Januari,Telah Kembali
2003010058,KB-999913,Pendidikan karakter konsep dan implementasi,370,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
190384202034,KB-806225,"Metode Penelitian Kuantitatif, Kualitatif dan R&D",1,Karya umum,2024-01-09,2024-01-16,Januari,Telah Kembali
190384202034,KB-287633,Metode penelitian kuantitatif kualitatif dan R&D Best seller,1,Karya umum,2024-01-09,2024-01-16,Januari,Telah Kembali
2003010028,KB-668525,Pendidikan karakter,372,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010028,KB-668525,Pendidikan karakter,372,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010028,KB-668525,Pendidikan karakter,372,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010028,KB-420480,Pendidikan karakter dalam sastra indonesia,370114,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010028,KB-153987,PENDIDIKAN KARAKTER,370,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010028,KB-153987,PENDIDIKAN KARAKTER,370,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010037,KB-438929,Statistika untuk penelitian,310,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010037,KB-438929,Statistika untuk penelitian,310,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010037,,Model-model pembelajaran inovatif,371,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003050052,,"Analisis wacana kajian teoritis dan praktis ed,2",401,Bahasa,2024-01-08,2024-01-15,Januari,Telah Kembali
2003050052,KB-390039,"Critical Discourse Analysis (Analisis Wacana Kritis) : Landasan Teori, Metodologi dan Penerapan",401,Bahasa,2024-01-08,2024-01-15,Januari,Telah Kembali
2003050052,KB-636821,PENDIDIKAN KARAKTER BERBASIS AGAMA & BUDAYA,371,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003020002,KB-394094,Pengantar sosiolinguistik,306,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003020002,KB-472369,Sosiolinguistik perkenalan awal,306,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
160388201044,KB-897709,Pengantar ilmu antropologi,301,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
160388201044,KB-897709,Pengantar ilmu antropologi,301,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010032,KB-806225,"Metode Penelitian Kuantitatif, Kualitatif dan R&D",1,Karya umum,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010032,KB-255860,Metodologi penelitian kualitatif,1,Karya umum,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010032,KB-255860,Metodologi penelitian kualitatif,1,Karya umum,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010032,KB-184920,Prinsip-prinsip pragmatik,114,Filsafat,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010044,KB-203393,Panduan lengkap SPSS 26,310,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010044,KB-285815,Prosedur penelitian suatu pendekatan praktik,1,Karya umum,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010044,KB-463483,Tes bahasa,59,Karya umum,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010045,KB-592577,Model-model pembelajaran,371,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010045,KB-592577,Model-model pembelajaran,371,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010045,KB-999793,Menjelajah pembelajaran inovatif,371,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010045,KB-592577,Model-model pembelajaran,371,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
2003010045,KB-592577,Model-model pembelajaran,371,Ilmu-ilmu sosial,2024-01-08,2024-01-15,Januari,Telah Kembali
190384205053,KB-564345,Biologi reproduksi,570,Ilmu-ilmu murni,2024-01-05,2024-01-12,Januari,Telah Kembali
190384205053,KB-564345,Biologi reproduksi,570,Ilmu-ilmu murni,2024-01-05,2024-01-12,Januari,Telah Kembali
190384205053,KB-564345,Biologi reproduksi,570,Ilmu-ilmu murni,2024-01-05,2024-01-12,Januari,Telah Kembali
160388201027,KB-255860,Metodologi penelitian kualitatif,1,Karya umum,2024-01-05,2024-01-12,Januari,Telah Kembali
160388201027,KB-255860,Metodologi penelitian kualitatif,1,Karya umum,2024-01-05,2024-01-12,Januari,Telah Kembali
160388201027,KB-844724,Metode penelitian bahasa,407,Bahasa,2024-01-05,2024-01-12,Januari,Telah Kembali
160388201027,KB-047496,PENGANTAR APRESIASI KARYA SASTRA,810,Kesusastraan,2024-01-05,2024-01-12,Januari,Telah Kembali
160388201073,KB-174734,SOSIOLINGUISTIK,306,Ilmu-ilmu sosial,2024-01-04,2024-01-11,Januari,Telah Kembali
160388201073,KB-174734,SOSIOLINGUISTIK,306,Ilmu-ilmu sosial,2024-01-04,2024-01-11,Januari,Telah Kembali
160388201073,KB-174734,SOSIOLINGUISTIK,306,Ilmu-ilmu sosial,2024-01-03,2024-01-10,Januari,Telah Kembali
160388201073,KB-174734,SOSIOLINGUISTIK,306,Ilmu-ilmu sosial,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010058,KB-041026,metodologi penelitian sastra,1,Karya umum,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010058,KB-041026,metodologi penelitian sastra,1,Karya umum,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010058,KB-806225,"Metode Penelitian Kuantitatif, Kualitatif dan R&D",1,Karya umum,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010026,KB-383004,Media pembelajaran,371,Ilmu-ilmu sosial,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010026,KB-060647,Penelitian pendidikan,1,Karya umum,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010026,KB-060647,Penelitian pendidikan,1,Karya umum,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010001,KB-346137,Media dan teknologi dalam pembelajaran,371,Ilmu-ilmu sosial,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010001,KB-383004,Media pembelajaran,371,Ilmu-ilmu sosial,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010001,KB-113135,Media instruksional edukatif,371,Ilmu-ilmu sosial,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010002,,Metode & model- model pembelajaran,371,Ilmu-ilmu sosial,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010002,KB-031688,68 MODEL PEMBELAJARAN INOVATIF DALAM KURIKULUM 2013,370,Ilmu-ilmu sosial,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010002,KB-961842,Model pembelajaran kooperatif implementasi di sd,371,Ilmu-ilmu sosial,2024-01-03,2024-01-10,Januari,Telah Kembali
2003010073,KB-184920,Prinsip-prinsip pragmatik,114,Filsafat,2024-01-02,2024-01-09,Januari,Telah Kembali
2003010073,KB-332848,PRAGMATIK,400,Bahasa,2024-01-02,2024-01-09,Januari,Telah Kembali
2003010073,KB-054906,Pragmatik kesantunana imperatif bahasa indonesia,410,Bahasa,2024-01-02,2024-01-09,Januari,Telah Kembali
2003010057,KB-052660,ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA,401,Bahasa,2024-01-02,2024-01-09,Januari,Telah Kembali
2003010057,KB-648718,ANALISIS TEKS MEDIA,401,Bahasa,2024-01-02,2024-01-09,Januari,Telah Kembali
2003010057,KB-820666,"Analisis Wacana: Teori, Metode, & Penerapannya",401,Bahasa,2024-01-02,2024-01-09,Januari,Telah Kembali
2004020018,KB-235829,Manajemen Sumber Daya Manusia,658,Ilmu-ilmu terapan,2024-01-30,2024-02-06,Januari,Telah Kembali
2004020018,KB-235829,Manajemen Sumber Daya Manusia,658,Ilmu-ilmu terapan,2024-01-30,2024-02-06,Januari,Telah Kembali
2004020018,KB-235829,Manajemen Sumber Daya Manusia,658,Ilmu-ilmu terapan,2024-01-30,2024-02-06,Januari,Telah Kembali
2004020018,KB-235829,Manajemen Sumber Daya Manusia,658,Ilmu-ilmu terapan,2024-01-30,2024-02-06,Januari,Telah Kembali
2004020018,KB-206164,Manajemen sumber daya manusia suatu pendekatan fungsional teoritis dan aplikatif,658,Ilmu-ilmu terapan,2024-01-30,2024-02-06,Januari,Telah Kembali
190462201050,KB-365750,Analisis Laporan Keuangan,657,Ilmu-ilmu terapan,2024-01-22,2024-01-29,Januari,Telah Kembali
190462201050,KB-365750,Analisis Laporan Keuangan,657,Ilmu-ilmu terapan,2024-01-22,2024-01-29,Januari,Telah Kembali
190462201050,KB-365750,Analisis Laporan Keuangan,657,Ilmu-ilmu terapan,2024-01-22,2024-01-29,Januari,Telah Kembali
2004020007,KB-900382,Metodologi penelitian kualitatif membantu peneliti dan mahasiswa,1,Karya umum,2024-01-18,2024-01-25,Januari,Telah Kembali
2004020007,KB-921904,"Metode penelitian kuantitatif dan kualitatif teori, penerapan dan riset nyata",1,Karya umum,2024-01-18,2024-01-25,Januari,Telah Kembali
2004020007,,"METODOLOGI PENELITIAN KUALITATIF Untuk
Ilmu-Ilmu Sosial",650,Ilmu-ilmu terapan,2024-01-18,2024-01-25,Januari,Telah Kembali
2004020011,KB-191809,Metode penelitian kuantitatif,1,Karya umum,2024-01-18,2024-01-25,Januari,Telah Kembali
2004020011,KB-191809,Metode penelitian kuantitatif,1,Karya umum,2024-01-18,2024-01-25,Januari,Telah Kembali
2004020011,KB-191809,Metode penelitian kuantitatif,1,Karya umum,2024-01-18,2024-01-25,Januari,Telah Kembali
2004020011,KB-191809,Metode penelitian kuantitatif,1,Karya umum,2024-01-18,2024-01-25,Januari,Telah Kembali
2004020011,KB-819182,Metodologi penelitian bisnis dilengkapi contoh hasil-hasil penelitian,1,Karya umum,2024-01-18,2024-01-25,Januari,Telah Kembali
2004020003,KB-928169,"Metodologi Penelitian Kuantitatif : Ekonomi, Sosiologi, Komunikasi, Administrasi, Pertanian dan Lainnya",1,Karya umum,2024-01-15,2024-01-22,Januari,Telah Kembali
2005030002,KB-255860,Metodologi penelitian kualitatif,1,Karya umum,2024-01-30,2024-02-06,Januari,Telah Kembali
2005030002,KB-255860,Metodologi penelitian kualitatif,1,Karya umum,2024-01-30,2024-02-06,Januari,Telah Kembali
2005030002,KB-372704,METODOLOGI PENELITIAN KUALITATIF,1,Karya umum,2024-01-30,2024-02-06,Januari,Telah Kembali
2005030002,KB-305123,Teori sosiologi modern Edisi Keenam,301,Ilmu-ilmu sosial,2024-01-30,2024-02-06,Januari,Telah Kembali
2005020013,KB-090253,Metode Penelitian Kuantitatif : Pengembangan Hipotesis dan Pengujiannya Menggunakan SmartPLS,1,Karya umum,2024-01-17,2024-01-24,Januari,Telah Kembali
2005020013,KB-787313,Partial least square (PLS),1,Karya umum,2024-01-17,2024-01-24,Januari,Telah Kembali
2305020059,KB-711025,Seikatsu Kaize Reformasi pola hidup jepang: panduan menjadi masyarakat unggul dan modern,952,Geografi dan sejarah,2024-01-16,2024-01-23,Januari,Telah Kembali
190574201041,KB-785976,Hukum Perlindungan Konsumen,340,Ilmu-ilmu sosial,2024-01-11,2024-01-18,Januari,Telah Kembali
190574201041,KB-896191,HUKUM PERLINDUNGAN KONSUMEN,340,Ilmu-ilmu sosial,2024-01-11,2024-01-18,Januari,Telah Kembali
190569201093,KB-743615,Metode penelitian pendidikan,370,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
190569201093,KB-743615,Metode penelitian pendidikan,370,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
190569201093,KB-743615,Metode penelitian pendidikan,370,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
190569201093,KB-743615,Metode penelitian pendidikan,370,Ilmu-ilmu sosial,2024-01-09,2024-01-16,Januari,Telah Kembali
2005050014,KB-586800,OTONOMI DAERAH & DAERAH OTONOM,360,Ilmu-ilmu sosial,2024-01-05,2024-01-12,Januari,Telah Kembali
2005050014,KB-586800,OTONOMI DAERAH & DAERAH OTONOM,360,Ilmu-ilmu sosial,2024-01-05,2024-01-12,Januari,Telah Kembali
2005050035,KB-586800,OTONOMI DAERAH & DAERAH OTONOM,360,Ilmu-ilmu sosial,2024-01-05,2024-01-12,Januari,Telah Kembali
2005050035,KB-586800,OTONOMI DAERAH & DAERAH OTONOM,360,Ilmu-ilmu sosial,2024-01-05,2024-01-12,Januari,Telah Kembali
2005030013,KB-896393,Pemberdayaan masyarakat di era global,303,Ilmu-ilmu sosial,2024-01-05,2024-01-12,Januari,Telah Kembali
2005030013,KB-776497,MODAL SOSIAL & PEMBANGUNAN WILAYAH,300,Ilmu-ilmu sosial,2024-01-05,2024-01-12,Januari,Telah Kembali
2005030013,KB-985178,Pembangunan sosial teori & praktik,300,Ilmu-ilmu sosial,2024-01-05,2024-01-12,Januari,Telah Kembali
190569201041,KB-264552,ENSIKLOPEDI SUKU BANGSA DI INDONESIA,306,Ilmu-ilmu sosial,2024-01-03,2024-01-10,Januari,Telah Kembali
198710182022032000,KB-937319,MENULIS ARTIKEL&KARYA ILMIAH,1,Karya Umum,2024-01-22,2024-09-13,Januari,Telah Kembali
198710182022032000,KB-921210,"Membuat skripsi, tesis, dan disertasi dengan partial least square SEM (PLS-SEM)",1,Karya umum,2024-01-22,2024-09-13,Januari,Telah Kembali
198710182022032000,KB-914151,Bimbingan menulis skripsi thesis,1,Karya umum,2024-01-22,2024-09-13,Januari,Telah Kembali
198710182022032000,KB-830074,Dasar-Dasar Metodologi Penelitian,1,Karya umum,2024-01-22,2024-09-13,Januari,Telah Kembali
198710182022032000,KB-078840,Metodologi penelitian bisnis & ekonomi,1,Karya umum,2024-01-22,2024-09-13,Januari,Telah Kembali
190120201058,KB-806225,"Metode Penelitian Kuantitatif, Kualitatif dan R&D",1,Karya umum,2024-02-23,2024-03-01,Februari,Telah Kembali
2102040020,KB-053305,Pulang pergi,813,Kesusastraan,2024-02-27,2024-03-05,Februari,Telah Kembali
2303010083,KB-745040,PENGAJARAN MORFOLOGI,571,Ilmu-ilmu murni,2024-02-29,2024-03-07,Februari,Telah Kembali
2303070087,KB-745040,PENGAJARAN MORFOLOGI,571,Ilmu-ilmu murni,2024-02-29,2024-03-07,Februari,Telah Kembali
2303070090,KB-745040,PENGAJARAN MORFOLOGI,571,Ilmu-ilmu murni,2024-02-29,2024-03-07,Februari,Telah Kembali
2203020066,KB-028772,Evaluasi Pembelajaran,371,Ilmu-ilmu sosial,2024-02-29,2024-03-07,Februari,Telah Kembali
2203020066,KB-028772,Evaluasi Pembelajaran,371,Ilmu-ilmu sosial,2024-02-29,2024-03-07,Februari,Telah Kembali
2203020066,KB-028772,Evaluasi Pembelajaran,371,Ilmu-ilmu sosial,2024-02-29,2024-03-07,Februari,Telah Kembali
2203020066,KB-940495,EVALUASI PEMBELAJARAN,371,Ilmu-ilmu sosial,2024-02-29,2024-03-07,Februari,Telah Kembali
2203020068,KB-820908,Evaluasi pembelajaran,371,Ilmu-ilmu sosial,2024-02-29,2024-03-07,Februari,Telah Kembali
2203020068,KB-051802,Psikologi Pendidikan,370,Ilmu-ilmu sosial,2024-02-29,2024-03-07,Februari,Telah Kembali
2203020068,KB-051802,Psikologi Pendidikan,370,Ilmu-ilmu sosial,2024-02-29,2024-03-07,Februari,Telah Kembali
2203020068,KB-069714,Dasar-Dasar Evaluasi Pendidikan,370,Ilmu-ilmu sosial,2024-02-29,2024-03-07,Februari,Telah Kembali
2303040017,KB-444236,Perang siasat kimia praktis,523,Ilmu-ilmu murni,2024-02-29,2024-03-07,Februari,Telah Kembali
2303040017,KB-084410,Kimia lingkungan,540,Ilmu-ilmu murni,2024-02-29,2024-03-07,Februari,Telah Kembali
2303040017,KB-084410,Kimia lingkungan,540,Ilmu-ilmu murni,2024-02-29,2024-03-07,Februari,Telah Kembali
2303020019,KB-276978,Pedoman kata baku & tidak baku,400,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2303020019,KB-276978,Pedoman kata baku & tidak baku,400,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2303020019,KB-276978,Pedoman kata baku & tidak baku,400,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2303020017,KB-754411,EYD & SEPUTAR KEBAHASAAN-INDONESIA,400,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2303020024,KB-276978,Pedoman kata baku & tidak baku,400,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2303020024,KB-276978,Pedoman kata baku & tidak baku,400,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2303020024,KB-276978,Pedoman kata baku & tidak baku,400,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2303020024,KB-517021,MATEMATIKA DASAR PERGURUAN TINGGI,510,Ilmu-ilmu murni,2024-02-29,2024-03-07,Februari,Telah Kembali
2303020020,KB-734976,EYD ejaan yang disempurnakan & seputar kebahasa-indonesiaan,400,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2203010046,KB-332848,PRAGMATIK,400,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2203010046,KB-496323,Psikolinguistik,402,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2203010046,KB-496323,Psikolinguistik,402,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2203010046,KB-496323,Psikolinguistik,402,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2203010046,KB-444965,Pengajaran semantik,401,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2203010048,KB-244954,Dasar-dasar ilmu semantik,401,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2203010048,KB-496323,Psikolinguistik,402,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
2203010048,KB-496323,Psikolinguistik,402,Bahasa,2024-02-29,2024-03-07,Februari,Telah Kembali
