ID Anggota;Kode Eksemplar;Judul;Kode Klasifikasi;Nama Klasifikasi;Tanggal Pinjam;Tanggal Kembali;Bulan Peminjaman;Status peminjaman
2003010058;50713;Pendidikan karakter konsep dan implementasi;370;Ilmu-ilmu sosial;2024-01-16;2024-01-23;Januari;Telah Kembali
2003010058;31179;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-16;2024-01-23;Januari;Telah Kembali
2003010058;30019;metodologi penelitian sastra;1;Karya umum;2024-01-16;2024-01-23;Januari;Telah Kembali
190388201084;20377;METODE PEMBELAJARAN DRAMA;807;Kesusastraan;2024-01-16;2024-01-23;Januari;Telah Kembali
190388201084;19700;DRAMA KARYA DALAM DUA DIMENSI;808;Kesusastraan;2024-01-16;2024-01-23;Januari;Telah Kembali
190388201084;1650,2;Pengantar kajian sastra;800;Kesusastraan;2024-01-16;2024-01-23;Januari;Telah Kembali
2003010043;24070;Semantik leksikal;410;Bahasa;2024-01-12;2024-01-19;Januari;Telah Kembali
180388201062;32428;Jenis Kalimat Dalam Bahasa Indonesia;410;Bahasa;2024-01-11;2024-01-18;Januari;Telah Kembali
180388201062;18451;Argumentasi dan Narasi;410;Bahasa;2024-01-11;2024-01-18;Januari;Telah Kembali
180388201062;45349;JENIS-JENIS TEKS;499221;Bahasa;2024-01-11;2024-01-18;Januari;Telah Kembali
2003010043;1175,3,1;PENGANTAR SEMANTIK BAHASA INDONESIA;400;Bahasa;2024-01-11;2024-01-18;Januari;Telah Kembali
2003010043;32777;PENGANTAR SEMANTIK BAHASA INDONESIA;400;Bahasa;2024-01-11;2024-01-18;Januari;Telah Kembali
2003010043;19554;SEMANTIK 2;401;Bahasa;2024-01-11;2024-01-18;Januari;Telah Kembali
2003010046;33570;Media pembelajaran;371;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Januari;Telah Kembali
2003010046;19987;MEDIA PEMBELAJARAN;371;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Januari;Telah Kembali
2003010046;49851;Media pembelajaran digital;371;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Januari;Telah Kembali
2003010035;48780;Media konvensional dan media online;302;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Januari;Telah Kembali
2003010035;49059;Belajar & pembelajaran pada bidang teknologi informasi;372;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Januari;Telah Kembali
190384205034;46667;Metode Penelitian Kuantitatif;1;Karya umum;2024-01-11;2024-01-18;Januari;Telah Kembali
2003010071;37873;68 MODEL PEMBELAJARAN INOVATIF DALAM KURIKULUM 2013;370;Ilmu-ilmu sosial;2024-01-10;2024-01-17;Januari;Telah Kembali
2003010057;45290;ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA;401;Bahasa;2024-01-10;2024-01-17;Januari;Telah Kembali
2003010057;45437;Analisis Wacana: Teori, Metode, & Penerapannya;401;Bahasa;2024-01-10;2024-01-17;Januari;Telah Kembali
2003010057;32167;ANALISIS TEKS MEDIA;401;Bahasa;2024-01-10;2024-01-17;Januari;Telah Kembali
2003010059;1960,1;Ilmu sosial budaya dasar;300;Ilmu-ilmu sosial;2024-01-09;2024-01-16;Januari;Telah Kembali
2003010059;37370;Culture studi kebudayaan;306;Ilmu-ilmu sosial;2024-01-09;2024-01-16;Januari;Telah Kembali
2003010059;39269;Teori-teori kebudayaan dari teori hingga aplikasi;306;Ilmu-ilmu sosial;2024-01-09;2024-01-16;Januari;Telah Kembali
2003020015;17558;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-09;2024-01-16;Januari;Telah Kembali
190388201075;M220,1;Metode penelitian bahasa;407;Bahasa;2024-01-09;2024-01-11;Januari;Telah Kembali
190388201075;48188;METODOLOGI PENELITIAN KUALITATIF;1;Karya umum;2024-01-09;2024-01-11;Januari;Telah Kembali
2003010058;50713;Pendidikan karakter konsep dan implementasi;370;Ilmu-ilmu sosial;2024-01-09;2024-01-16;Januari;Telah Kembali
190384202034;24440;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-09;2024-01-16;Januari;Telah Kembali
190384202034;45313;Metode penelitian kuantitatif kualitatif dan R&D Best seller;1;Karya umum;2024-01-09;2024-01-16;Januari;Telah Kembali
2003010028;32919;Pendidikan karakter;372;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010028;48515;Pendidikan karakter dalam sastra indonesia;370114;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010028;21522;PENDIDIKAN KARAKTER;370;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010037;35354;Statistika untuk penelitian;310;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010037;32535;Model-model pembelajaran inovatif;371;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003050052;49238;Analisis wacana kajian teoritis dan praktis ed,2;401;Bahasa;2024-01-08;2024-01-15;Januari;Telah Kembali
2003050052;45407;Critical Discourse Analysis (Analisis Wacana Kritis) : Landasan Teori, Metodologi dan Penerapan;401;Bahasa;2024-01-08;2024-01-15;Januari;Telah Kembali
2003050052;545,01;PENDIDIKAN KARAKTER BERBASIS AGAMA & BUDAYA;371;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003020002;707APBN3,9;Pengantar sosiolinguistik;306;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003020002;143PB3,1;Sosiolinguistik perkenalan awal;306;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
160388201044;30016;Pengantar ilmu antropologi;301;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010032;21936;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010032;20558;Metodologi penelitian kualitatif;1;Karya umum;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010032;30079;Prinsip-prinsip pragmatik;114;Filsafat;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010044;49509;Panduan lengkap SPSS 26;310;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010044;33609;Prosedur penelitian suatu pendekatan praktik;1;Karya umum;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010044;20317;Tes bahasa;59;Karya umum;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010045;45445;Model-model pembelajaran;371;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010045;18687;Menjelajah pembelajaran inovatif;371;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
2003010045;20552;Model-model pembelajaran;371;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Januari;Telah Kembali
190384205053;25250;Biologi reproduksi;570;Ilmu-ilmu murni;2024-01-05;2024-01-12;Januari;Telah Kembali
160388201027;20559;Metodologi penelitian kualitatif;1;Karya umum;2024-01-05;2024-01-12;Januari;Telah Kembali
160388201027;m220,1;Metode penelitian bahasa;407;Bahasa;2024-01-05;2024-01-12;Januari;Telah Kembali
160388201027;19541;PENGANTAR APRESIASI KARYA SASTRA;810;Kesusastraan;2024-01-05;2024-01-12;Januari;Telah Kembali
160388201073;142PB3,1;SOSIOLINGUISTIK;306;Ilmu-ilmu sosial;2024-01-04;2024-01-11;Januari;Telah Kembali
160388201073;1730,2;SOSIOLINGUISTIK;306;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010058;30019;metodologi penelitian sastra;1;Karya umum;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010058;31179;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010026;33596;Media pembelajaran;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010026;37366;Penelitian pendidikan;1;Karya umum;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010001;45344;Media dan teknologi dalam pembelajaran;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010001;23132;Media pembelajaran;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010001;31992;Media instruksional edukatif;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010002;1777,1;Metode & model- model pembelajaran;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010002;37506;68 MODEL PEMBELAJARAN INOVATIF DALAM KURIKULUM 2013;370;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010002;48691;Model pembelajaran kooperatif implementasi di sd;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Januari;Telah Kembali
2003010073;30116;Prinsip-prinsip pragmatik;114;Filsafat;2024-01-02;2024-01-09;Januari;Telah Kembali
2003010073;20380;PRAGMATIK;400;Bahasa;2024-01-02;2024-01-09;Januari;Telah Kembali
2003010073;13,128,;Pragmatik kesantunana imperatif bahasa indonesia;410;Bahasa;2024-01-02;2024-01-09;Januari;Telah Kembali
2003010057;45290;ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA;401;Bahasa;2024-01-02;2024-01-09;Januari;Telah Kembali
2003010057;32167;ANALISIS TEKS MEDIA;401;Bahasa;2024-01-02;2024-01-09;Januari;Telah Kembali
2003010057;45437;Analisis Wacana: Teori, Metode, & Penerapannya;401;Bahasa;2024-01-02;2024-01-09;Januari;Telah Kembali
2004020018;45357;Manajemen Sumber Daya Manusia;658;Ilmu-ilmu terapan;2024-01-30;2024-02-06;Januari;Telah Kembali
2004020018;46798;Manajemen sumber daya manusia suatu pendekatan fungsional teoritis dan aplikatif;658;Ilmu-ilmu terapan;2024-01-30;2024-02-06;Januari;Telah Kembali
190462201050;39052;Analisis Laporan Keuangan;657;Ilmu-ilmu terapan;2024-01-22;2024-01-29;Januari;Telah Kembali
2004020007;49435;Metodologi penelitian kualitatif membantu peneliti dan mahasiswa;1;Karya umum;2024-01-18;2024-01-25;Januari;Telah Kembali
2004020007;49669;Metode penelitian kuantitatif dan kualitatif teori, penerapan dan riset nyata;1;Karya umum;2024-01-18;2024-01-25;Januari;Telah Kembali
2004020007;40743;"METODOLOGI PENELITIAN KUALITATIF Untuk
Ilmu-Ilmu Sosial";650;Ilmu-ilmu terapan;2024-01-18;2024-01-25;Januari;Telah Kembali
2004020011;20225;Metode penelitian kuantitatif;1;Karya umum;2024-01-18;2024-01-25;Januari;Telah Kembali
2004020011;48890;Metodologi penelitian bisnis dilengkapi contoh hasil-hasil penelitian;1;Karya umum;2024-01-18;2024-01-25;Januari;Telah Kembali
2004020003;46784;Metodologi Penelitian Kuantitatif : Ekonomi, Sosiologi, Komunikasi, Administrasi, Pertanian dan Lainnya;1;Karya umum;2024-01-15;2024-01-22;Januari;Telah Kembali
2005030002;20557;Metodologi penelitian kualitatif;1;Karya umum;2024-01-30;2024-02-06;Januari;Telah Kembali
2005030002;48191;METODOLOGI PENELITIAN KUALITATIF;1;Karya umum;2024-01-30;2024-02-06;Januari;Telah Kembali
2005030002;42027;Teori sosiologi modern Edisi Keenam;301;Ilmu-ilmu sosial;2024-01-30;2024-02-06;Januari;Telah Kembali
2005020013;45435;Metode Penelitian Kuantitatif : Pengembangan Hipotesis dan Pengujiannya Menggunakan SmartPLS;1;Karya umum;2024-01-17;2024-01-24;Januari;Telah Kembali
2005020013;25307;Partial least square (PLS);1;Karya umum;2024-01-17;2024-01-24;Januari;Telah Kembali
2305020059;48274;Seikatsu Kaize Reformasi pola hidup jepang: panduan menjadi masyarakat unggul dan modern;952;Geografi dan sejarah;2024-01-16;2024-01-23;Januari;Telah Kembali
190574201041;15,309,2;Hukum Perlindungan Konsumen;340;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Januari;Telah Kembali
190574201041;15,112,1;HUKUM PERLINDUNGAN KONSUMEN;340;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Januari;Telah Kembali
190569201093;467sm3;Metode penelitian pendidikan;370;Ilmu-ilmu sosial;2024-01-09;2024-01-16;Januari;Telah Kembali
2005050014;42606;OTONOMI DAERAH & DAERAH OTONOM;360;Ilmu-ilmu sosial;2024-01-05;2024-01-12;Januari;Telah Kembali
2005050035;42707;OTONOMI DAERAH & DAERAH OTONOM;360;Ilmu-ilmu sosial;2024-01-05;2024-01-12;Januari;Telah Kembali
2005030013;46644;Pemberdayaan masyarakat di era global;303;Ilmu-ilmu sosial;2024-01-05;2024-01-12;Januari;Telah Kembali
2005030013;24821;MODAL SOSIAL & PEMBANGUNAN WILAYAH;300;Ilmu-ilmu sosial;2024-01-05;2024-01-12;Januari;Telah Kembali
2005030013;50790;Pembangunan sosial teori & praktik;300;Ilmu-ilmu sosial;2024-01-05;2024-01-12;Januari;Telah Kembali
190569201041;23054;ENSIKLOPEDI SUKU BANGSA DI INDONESIA;306;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Januari;Telah Kembali
198710182022032000;31300;MENULIS ARTIKEL&KARYA ILMIAH;1;Karya Umum;2024-01-22;2024-09-13;Januari;Telah Kembali
198710182022032000;26597;Membuat skripsi, tesis, dan disertasi dengan partial least square SEM (PLS-SEM);1;Karya umum;2024-01-22;2024-09-13;Januari;Telah Kembali
198710182022032000;28255;Bimbingan menulis skripsi thesis;1;Karya umum;2024-01-22;2024-09-13;Januari;Telah Kembali
198710182022032000;31378;Dasar-Dasar Metodologi Penelitian;1;Karya umum;2024-01-22;2024-09-13;Januari;Telah Kembali
198710182022032000;1860,3;Metodologi penelitian bisnis & ekonomi;1;Karya umum;2024-01-22;2024-09-13;Januari;Telah Kembali
190120201058;21936;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-02-23;2024-03-01;Februari;Telah Kembali
2102040020;49780;Pulang pergi;813;Kesusastraan;2024-02-27;2024-03-05;Februari;Telah Kembali
2303010083;24150;PENGAJARAN MORFOLOGI;571;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303070087;19392;PENGAJARAN MORFOLOGI;571;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303070090;32475;PENGAJARAN MORFOLOGI;571;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2203020066;45430;Evaluasi Pembelajaran;371;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Februari;Telah Kembali
2203020066;17618;EVALUASI PEMBELAJARAN;371;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Februari;Telah Kembali
2203020068;42026;Evaluasi pembelajaran;371;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Februari;Telah Kembali
2203020068;p096;Psikologi Pendidikan;370;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Februari;Telah Kembali
2203020068;530,11;Dasar-Dasar Evaluasi Pendidikan;370;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Februari;Telah Kembali
2303040017;30409;Perang siasat kimia praktis;523;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303040017;21474;Kimia lingkungan;540;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020019;1769,1;Pedoman kata baku & tidak baku;400;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020017;50413;EYD & SEPUTAR KEBAHASAAN-INDONESIA;400;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020024;1769,3;Pedoman kata baku & tidak baku;400;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020024;28055;MATEMATIKA DASAR PERGURUAN TINGGI;510;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020020;E205;EYD ejaan yang disempurnakan & seputar kebahasa-indonesiaan;400;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010046;20380;PRAGMATIK;400;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010046;20701;Psikolinguistik;402;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010046;30040;Pengajaran semantik;401;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010048;41056;Dasar-dasar ilmu semantik;401;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010048;529,6;Psikolinguistik;402;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010048;32151;Pengantar statistik pendidikan;310;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010013;31553;Pengajaran semantik;401;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010013;p202;Psikolinguistik kajian teoretik;402;Bahasa;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010013;29405;Pengantar statistik pendidikan;310;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Februari;Telah Kembali
2303030010;36224;BIOLOGI JILID 1;570;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303030014;35996;BIOLOGI JILID 1;570;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010015;2859,1;Statistik pendidikan;370;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010015;585,1;Pengantar statistik pendidikan;310;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Februari;Telah Kembali
2003020009;42426;Quantum learning;370;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Februari;Telah Kembali
2003020009;48190;METODOLOGI PENELITIAN KUALITATIF;1;Karya umum;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020048;41054;Cliffs quick review aljabar I;512;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020048;49939;Love yourself menjadi biasa-biasa itu tidak apa-apa;813;Kesusastraan;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020035;40711;Cliffs quick review aljabar I;512;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020035;44278;Aljabar dan Kalkulus;512;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020040;28063;Cliffs quick review aljabar I;512;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020040;40298;Pengantar statistika;520;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020047;40399;Cliffs quick review aljabar I;512;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2303020047;47484;Geometri analitik;516;Ilmu-ilmu murni;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010041;43710;STATISTIK TEORI DAN APLIKASI JILID 1 EDISI KELIMA;1;Karya umum;2024-02-29;2024-03-07;Februari;Telah Kembali
2203010021;19715;Ilmu statistika;1;Karya umum;2024-02-29;2024-03-07;Februari;Telah Kembali
2303080095;49999;Trik no,1 otodidak pintar percakapan bahasa inggris;422;Bahasa;2024-02-28;2024-03-06;Februari;Telah Kembali
2303080095;40297;Cliffs toefl preparation guide;425;Bahasa;2024-02-28;2024-03-06;Februari;Telah Kembali
2103020029;18387;Manajemen pendidikan;372;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
2103020029;18388;Manajemen pendidikan;372;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
2103020029;18392;Manajemen pendidikan;372;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
2103020029;18386;Manajemen pendidikan;372;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
2103020029;49991;Etika itu keren membudayakan etika dalam profesi;170;Filsafat;2024-02-28;2024-03-06;Februari;Telah Kembali
2103020029;48115;Etika politik prinsip moral dasar kenegaraan modern;172;Filsafat;2024-02-28;2024-03-06;Februari;Telah Kembali
2103020029;44310;Panduan Komplet Menulis Kreatif;808;Kesusastraan;2024-02-28;2024-03-06;Februari;Telah Kembali
2103020029;46781;Alquran dan sains;297;Agama;2024-02-28;2024-03-06;Februari;Telah Kembali
2203010027;31716;Statistika untuk penelitian;519;Ilmu-ilmu murni;2024-02-28;2024-03-06;Februari;Telah Kembali
2203010027;20643;Pengantar statistika;520;Ilmu-ilmu murni;2024-02-28;2024-03-06;Februari;Telah Kembali
2203010027;20019;Pengantar statistika;520;Ilmu-ilmu murni;2024-02-28;2024-03-06;Februari;Telah Kembali
2203010027;1080,3,3;Statistik Jilid 1;520;Ilmu-ilmu murni;2024-02-28;2024-03-06;Februari;Telah Kembali
2003010050;37472;TEORI DAN PRATIK PENELITIAN KUANTITATIF KUALITATIF;1;Karya umum;2024-02-28;2024-03-06;Februari;Telah Kembali
2003010050;33597;Media pembelajaran;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
2003010050;49059;Belajar & pembelajaran pada bidang teknologi informasi;372;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
190384205040;49778;Pulang pergi;813;Kesusastraan;2024-02-28;2024-03-06;Februari;Telah Kembali
190384205040;33565;Media pembelajaran;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
190384205040;46674;Metode penelitian & pengembangan research and development untuk bidang pendidikan, manajemen, sosial, teknik;1;Karya umum;2024-02-28;2024-03-06;Februari;Telah Kembali
2203030039;44875;Dasar-Dasar Dan Perancangan Evaluasi Pembelajaran;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
2203030039;47710;Dasar-dasar perancangan dan evaluasi pembelajaran ed,2;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
2203030039;47699;Evaluasi dan asesmen pembelajaran;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
2203030039;33675;Instrumen perangkat pembelajaran;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Februari;Telah Kembali
2203020032;43586;Menulis Artikel Ilmiah Yang Komunikatif : Strategi Menebus Jurnal Akademik Bereputasi;808;Kesusastraan;2024-02-28;2024-03-06;Februari;Telah Kembali
2203010007;30775;Dasar-Dasar Statistika;310;Ilmu-ilmu sosial;2024-02-27;2024-03-05;Februari;Telah Kembali
2203010007;41974;Pengantar statistika;520;Ilmu-ilmu murni;2024-02-27;2024-03-05;Februari;Telah Kembali
2203010066;30781;Dasar-Dasar Statistika;310;Ilmu-ilmu sosial;2024-02-27;2024-03-05;Februari;Telah Kembali
2203010066;33408;Pengantar statistika;520;Ilmu-ilmu murni;2024-02-27;2024-03-05;Februari;Telah Kembali
2203010005;50332;MEMBACA SEBAGAI SUATU KETERAMPILAN BERBAHASA;400;Bahasa;2024-02-27;2024-03-05;Februari;Telah Kembali
2203010005;20936;Pengantar statistika;520;Ilmu-ilmu murni;2024-02-27;2024-03-05;Februari;Telah Kembali
2203010005;30764;Dasar-Dasar Statistika;310;Ilmu-ilmu sosial;2024-02-27;2024-03-05;Februari;Telah Kembali
2203010071;2344,5;Pengantar statistika;520;Ilmu-ilmu murni;2024-02-27;2024-03-05;Februari;Telah Kembali
2203010071;21003;MEMBACA SEBAGAI SUATU KETERAMPILAN BERBAHASA;400;Bahasa;2024-02-27;2024-03-05;Februari;Telah Kembali
2203010071;19627;Psikolinguistik kajian teoretik;402;Bahasa;2024-02-27;2024-03-05;Februari;Telah Kembali
190388201083;M220,1;Metode penelitian bahasa;407;Bahasa;2024-02-27;2024-03-05;Februari;Telah Kembali
190388201083;48191;METODOLOGI PENELITIAN KUALITATIF;1;Karya umum;2024-02-27;2024-03-05;Februari;Telah Kembali
2303020045;45461;Ilmu Jalanan : ilmu kesuksesan yang tidak ada di kurikulum dan buku pelajaran;155;Filsafat;2024-02-27;2024-03-05;Februari;Telah Kembali
2003010032;19720;metodologi penelitian sastra Epistemologi, model, teori dan aplikasi;1;Karya umum;2024-02-27;2024-03-05;Februari;Telah Kembali
2303050042;2197,5;Bahasa indonesia untuk perguruan tinggi;410;Bahasa;2024-02-27;2024-03-05;Februari;Telah Kembali
2303050042;523;Eyd Ejaan Bahasa Indonesia Yang disempurnakan terbaru Untuk SMP,SMA, Mahasisw & Umum;410;Bahasa;2024-02-27;2024-03-05;Februari;Telah Kembali
